-34;-59;-54;100218
-33;-60;-52;100218
-81;-60;-53;100218
-31;-54;-49;100218
-31;-52;-49;100218
-33;-62;-49;100218
-32;-58;-51;100218
-34;-60;-53;100218
-32;-62;-50;100218
-33;-63;-79;100218
-32;-65;-53;100218
-34;-65;-53;100218
-32;-64;-55;100218
-32;-64;-55;100218
-32;-63;-50;100218
-31;-48;-81;100218
-34;-58;-51;100218
-34;-63;-50;100218
-31;-50;-50;100218
-32;-67;-53;100218
-33;-60;-50;100218
-33;-60;-81;100218
-33;-62;-50;100218
-33;-62;-49;100218
-33;-61;-50;100218
-32;-62;-50;100218
-33;-61;-51;100218
-33;-60;-50;100218
-33;-53;-50;100218
-33;-60;-51;100218
-33;-58;-50;100218
-33;-63;-50;100218
-33;-61;-84;100218
-33;-61;-51;100218
-34;-63;-50;100218
-33;-49;-50;100218
-33;-63;-50;100218
-35;-61;-50;100218
-33;-63;-50;100218
-33;-61;-50;100218
-33;-62;-49;100218
-33;-61;-49;100218
-33;-63;-50;100218
-33;-63;-58;100218
-33;-60;-81;100218
-33;-61;-89;100218
-33;-59;-51;100218
-33;-62;-50;100218
-34;-59;-50;100218
-34;-53;-50;100218
-29;-60;-78;136065
-87;-58;-78;136065
-28;-61;-47;136065
-29;-43;-47;136065
-29;-60;-46;136065
-86;-60;-47;136065
-29;-61;-50;136065
-29;-60;-49;136065
-78;-60;-49;136065
-28;-47;-74;136065
-28;-61;-74;136065
-28;-64;-48;136065
-72;-61;-47;136065
-28;-62;-46;136065
-28;-60;-87;136065
-28;-61;-49;136065
-28;-62;-49;136065
-28;-63;-86;136065
-29;-62;-47;136065
-28;-47;-47;136065
-87;-61;-48;136065
-28;-63;-48;136065
-29;-63;-48;136065
-28;-62;-77;136065
-28;-63;-48;136065
-28;-62;-48;136065
-28;-62;-47;136065
-28;-62;-48;136065
-28;-63;-48;136065
-28;-61;-47;136065
-30;-61;-48;136065
-28;-63;-47;136065
-28;-62;-46;136065
-28;-62;-47;136065
-28;-63;-47;136065
-28;-64;-47;136065
-28;-61;-47;136065
-29;-61;-46;136065
-29;-62;-46;136065
-27;-61;-46;136065
-27;-60;-47;136065
-29;-59;-47;136065
-29;-61;-47;136065
-29;-62;-87;136065
-29;-64;-47;136065
-28;-62;-87;136065
-28;-63;-87;136065
-26;-62;-87;136065
-27;-62;-46;136065
-33;-62;-47;136065
-20;-58;-44;186697
-19;-47;-44;186697
-63;-58;-44;186697
-21;-58;-45;186697
-20;-58;-44;186697
-20;-59;-44;186697
-50;-40;-45;186697
-20;-49;-44;186697
-20;-60;-45;186697
-20;-63;-44;186697
-20;-59;-44;186697
-59;-60;-44;186697
-20;-60;-44;186697
-20;-62;-44;186697
-20;-62;-45;186697
-20;-62;-45;186697
-20;-60;-44;186697
-20;-61;-44;186697
-42;-60;-44;186697
-20;-60;-45;186697
-19;-48;-44;186697
-20;-62;-85;186697
-20;-60;-85;186697
-89;-61;-44;186697
-20;-61;-43;186697
-20;-62;-44;186697
-20;-61;-45;186697
-20;-63;-44;186697
-20;-61;-45;186697
-20;-59;-45;186697
-20;-60;-46;186697
-20;-61;-45;186697
-20;-60;-45;186697
-84;-60;-45;186697
-20;-62;-45;186697
-20;-59;-44;186697
-20;-60;-44;186697
-20;-63;-45;186697
-20;-59;-44;186697
-20;-60;-44;186697
-20;-61;-44;186697
-20;-59;-45;186697
-51;-60;-46;186697
-20;-59;-46;186697
-20;-60;-45;186697
-20;-62;-45;186697
-20;-60;-45;186697
-20;-60;-45;186697
-20;-60;-45;186697
-20;-62;-45;186697
-86;-56;-54;235518
-28;-56;-87;235518
-28;-46;-54;235518
-27;-46;-55;235518
-27;-46;-55;235518
-88;-56;-53;235518
-28;-55;-86;235518
-28;-55;-53;235518
-83;-54;-53;235518
